,ID,Title,Acceptance,Difficulty,Frequency,Link
344,277,Find the Celebrity,41.8%,Medium,0.029697802391742, https://leetcode.com/problems/find-the-celebrity
345,767,Reorganize String,48.7%,Medium,0.0296757681461166, https://leetcode.com/problems/reorganize-string
347,339,Nested List Weight Sum,74.0%,Easy,0.0296098611672027, https://leetcode.com/problems/nested-list-weight-sum
348,671,Second Minimum Node In a Binary Tree,42.7%,Easy,0.029587957185496, https://leetcode.com/problems/second-minimum-node-in-a-binary-tree
349,695,Max Area of Island,62.7%,Medium,0.0283215908632461, https://leetcode.com/problems/max-area-of-island
351,518,Coin Change 2,50.2%,Medium,0.027969505010125, https://leetcode.com/problems/coin-change-2
354,158,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,0.0261966519465706, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
356,378,Kth Smallest Element in a Sorted Matrix,54.3%,Medium,0.0259904898165374, https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix
357,733,Flood Fill,55.3%,Easy,0.0250639686632162, https://leetcode.com/problems/flood-fill
358,983,Minimum Cost For Tickets,60.5%,Medium,0.0246773780933762, https://leetcode.com/problems/minimum-cost-for-tickets
362,844,Backspace String Compare,46.4%,Easy,0.0235551325028849, https://leetcode.com/problems/backspace-string-compare
365,102,Binary Tree Level Order Traversal,54.6%,Medium,0.0225295642534234, https://leetcode.com/problems/binary-tree-level-order-traversal
368,398,Random Pick Index,56.0%,Medium,0.0220759516991997, https://leetcode.com/problems/random-pick-index
369,670,Maximum Swap,43.6%,Medium,0.0208449444303659, https://leetcode.com/problems/maximum-swap
372,229,Majority Element II,35.6%,Medium,0.0190572704102861, https://leetcode.com/problems/majority-element-ii
375,37,Sudoku Solver,43.6%,Hard,0.0182154398913411, https://leetcode.com/problems/sudoku-solver
377,16,3Sum Closest,46.0%,Medium,0.0168543315549821, https://leetcode.com/problems/3sum-closest
378,51,N-Queens,46.6%,Hard,0.0163938097756764, https://leetcode.com/problems/n-queens
379,299,Bulls and Cows,42.4%,Easy,0.0162275366217567, https://leetcode.com/problems/bulls-and-cows
381,59,Spiral Matrix II,53.9%,Medium,0.0157918796978916, https://leetcode.com/problems/spiral-matrix-ii
384,177,Nth Highest Salary,31.4%,Medium,0.0143732262413717, https://leetcode.com/problems/nth-highest-salary
385,41,First Missing Positive,32.0%,Hard,0.0143680632669201, https://leetcode.com/problems/first-missing-positive
386,315,Count of Smaller Numbers After Self,41.5%,Hard,0.0143525965749565, https://leetcode.com/problems/count-of-smaller-numbers-after-self
387,150,Evaluate Reverse Polish Notation,36.3%,Medium,0.0141345109349047, https://leetcode.com/problems/evaluate-reverse-polish-notation
389,64,Minimum Path Sum,54.5%,Medium,0.0137343834495983, https://leetcode.com/problems/minimum-path-sum
393,199,Binary Tree Right Side View,54.1%,Medium,0.0127408291990616, https://leetcode.com/problems/binary-tree-right-side-view
396,547,Friend Circles,58.6%,Medium,0.0122288286394345, https://leetcode.com/problems/friend-circles
397,437,Path Sum III,47.2%,Medium,0.0121287114466148, https://leetcode.com/problems/path-sum-iii
399,350,Intersection of Two Arrays II,51.4%,Easy,0.011685409518779, https://leetcode.com/problems/intersection-of-two-arrays-ii
400,264,Ugly Number II,42.0%,Medium,0.0116044238104146, https://leetcode.com/problems/ugly-number-ii
401,283,Move Zeroes,57.8%,Easy,0.011491902668042, https://leetcode.com/problems/move-zeroes
402,69,Sqrt(x),33.9%,Easy,0.0114432272223427, https://leetcode.com/problems/sqrtx
403,232,Implement Queue using Stacks,49.6%,Easy,0.0112423893489338, https://leetcode.com/problems/implement-queue-using-stacks
404,941,Valid Mountain Array,33.2%,Easy,0.0111390736830093, https://leetcode.com/problems/valid-mountain-array
405,338,Counting Bits,69.5%,Medium,0.0108844611984232, https://leetcode.com/problems/counting-bits
406,662,Maximum Width of Binary Tree,41.0%,Medium,0.0107905012451139, https://leetcode.com/problems/maximum-width-of-binary-tree
407,155,Min Stack,44.5%,Easy,0.010653509851791, https://leetcode.com/problems/min-stack
408,236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0105758917590581, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
409,739,Daily Temperatures,63.3%,Medium,0.0100326901218144, https://leetcode.com/problems/daily-temperatures
411,47,Permutations II,46.4%,Medium,0.0096735941783783, https://leetcode.com/problems/permutations-ii
412,45,Jump Game II,30.6%,Hard,0.0095466118835799, https://leetcode.com/problems/jump-game-ii
413,206,Reverse Linked List,62.5%,Easy,0.0093267945119749, https://leetcode.com/problems/reverse-linked-list
414,43,Multiply Strings,33.9%,Medium,0.0091450111500627, https://leetcode.com/problems/multiply-strings
419,416,Partition Equal Subset Sum,43.7%,Medium,0.0086862652559603, https://leetcode.com/problems/partition-equal-subset-sum
420,8,String to Integer (atoi),15.4%,Medium,0.0085131047622482, https://leetcode.com/problems/string-to-integer-atoi
421,153,Find Minimum in Rotated Sorted Array,45.1%,Medium,0.0084309632887993, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
422,235,Lowest Common Ancestor of a Binary Search Tree,49.9%,Easy,0.0082169731022808, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
425,145,Binary Tree Postorder Traversal,55.0%,Hard,0.0075145948206413, https://leetcode.com/problems/binary-tree-postorder-traversal
427,349,Intersection of Two Arrays,62.5%,Easy,0.0072503489623068, https://leetcode.com/problems/intersection-of-two-arrays
428,11,Container With Most Water,50.8%,Medium,0.0068891883004121, https://leetcode.com/problems/container-with-most-water
430,98,Validate Binary Search Tree,27.8%,Medium,0.0066113514893502, https://leetcode.com/problems/validate-binary-search-tree
431,138,Copy List with Random Pointer,36.4%,Medium,0.0061910118808252, https://leetcode.com/problems/copy-list-with-random-pointer
432,278,First Bad Version,35.7%,Easy,0.0053915752657904, https://leetcode.com/problems/first-bad-version
435,189,Rotate Array,34.7%,Easy,0.0040298261265008, https://leetcode.com/problems/rotate-array
437,94,Binary Tree Inorder Traversal,63.3%,Medium,0.0033551449021403, https://leetcode.com/problems/binary-tree-inorder-traversal
438,66,Plus One,43.0%,Easy,0.0032621134783293, https://leetcode.com/problems/plus-one
439,154,Find Minimum in Rotated Sorted Array II,41.6%,Hard,0.0021273209107578, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii
440,7,Reverse Integer,25.8%,Easy,0.0018612447790907, https://leetcode.com/problems/reverse-integer
441,203,Remove Linked List Elements,38.6%,Easy,0.0016237064659255, https://leetcode.com/problems/remove-linked-list-elements
548,254,Factor Combinations,46.7%,Medium,0.9907010014908804, https://leetcode.com/problems/factor-combinations
628,699,Falling Squares,41.8%,Hard,0.2856138193877219, https://leetcode.com/problems/falling-squares
631,290,Word Pattern,37.0%,Easy,0.2601476821005732, https://leetcode.com/problems/word-pattern
633,432,All O`one Data Structure,32.4%,Hard,0.2509182317622527, https://leetcode.com/problems/all-oone-data-structure
646,450,Delete Node in a BST,43.1%,Medium,0.2063522880195106, https://leetcode.com/problems/delete-node-in-a-bst
654,186,Reverse Words in a String II,43.3%,Medium,0.1887940712995721, https://leetcode.com/problems/reverse-words-in-a-string-ii
666,249,Group Shifted Strings,55.1%,Medium,0.1612234791476734, https://leetcode.com/problems/group-shifted-strings
671,959,Regions Cut By Slashes,66.2%,Medium,0.1507867227152846, https://leetcode.com/problems/regions-cut-by-slashes
708,827,Making A Large Island,45.7%,Hard,0.0928741250064437, https://leetcode.com/problems/making-a-large-island
711,266,Palindrome Permutation,61.9%,Easy,0.091248671465145, https://leetcode.com/problems/palindrome-permutation
739,1171,Remove Zero Sum Consecutive Nodes from Linked List,41.4%,Medium,0.0602591915181968, https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list
751,648,Replace Words,56.6%,Medium,0.0511620521798682, https://leetcode.com/problems/replace-words
759,1385,Find the Distance Value Between Two Arrays,67.0%,Easy,0.0466829218827077, https://leetcode.com/problems/find-the-distance-value-between-two-arrays
771,125,Valid Palindrome,36.7%,Easy,0.0352666579823233, https://leetcode.com/problems/valid-palindrome
779,104,Maximum Depth of Binary Tree,66.0%,Easy,0.0248151691197239, https://leetcode.com/problems/maximum-depth-of-binary-tree
789,516,Longest Palindromic Subsequence,53.2%,Medium,0.0149312217749848, https://leetcode.com/problems/longest-palindromic-subsequence
790,202,Happy Number,50.4%,Easy,0.0140451747030476, https://leetcode.com/problems/happy-number
799,690,Employee Importance,57.3%,Easy,0.0, https://leetcode.com/problems/employee-importance
800,171,Excel Sheet Column Number,55.9%,Easy,0.0, https://leetcode.com/problems/excel-sheet-column-number
801,373,Find K Pairs with Smallest Sums,36.7%,Medium,0.0, https://leetcode.com/problems/find-k-pairs-with-smallest-sums
802,735,Asteroid Collision,41.0%,Medium,0.0, https://leetcode.com/problems/asteroid-collision
803,710,Random Pick with Blacklist,32.5%,Hard,0.0, https://leetcode.com/problems/random-pick-with-blacklist
804,1064,Fixed Point,66.5%,Easy,0.0, https://leetcode.com/problems/fixed-point
805,1039,Minimum Score Triangulation of Polygon,49.1%,Medium,0.0, https://leetcode.com/problems/minimum-score-triangulation-of-polygon
806,1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,44.5%,Medium,0.0, https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance
807,1400,Construct K Palindrome Strings,60.4%,Medium,0.0, https://leetcode.com/problems/construct-k-palindrome-strings
808,1462,Course Schedule IV,41.9%,Medium,0.0, https://leetcode.com/problems/course-schedule-iv
